"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-17 15:22:24,FALSE,NA,"523131922835582976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cllrainslie",137,TRUE,FALSE,NA,NA
"2","RT @britishmuseum: P.S. If you're at the #MuseumOfTheFuture drinks come to the winged bulls to have your say about the debate! http://t.co/…",FALSE,0,NA,2014-10-17 15:19:48,FALSE,NA,"523131267106095107",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chojiT",21,TRUE,FALSE,NA,NA
"3","RT @LauraKugel: Viewing objects 'physically' and 'virtually' aren't competing but complementing each other #MuseumOfTheFuture @britishmuseu…",FALSE,0,NA,2014-10-17 15:18:39,FALSE,NA,"523130979947655168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Parthenon1",27,TRUE,FALSE,NA,NA
"4","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-17 15:17:50,FALSE,NA,"523130775085268992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michtrim",137,TRUE,FALSE,NA,NA
"5","RT @ImogenHopes: #MuseumOfTheFuture Digital democratises knowledge - let's utalise that. Make museum content more sharable.",FALSE,0,NA,2014-10-17 15:17:41,FALSE,NA,"523130737625931776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michtrim",13,TRUE,FALSE,NA,NA
"6","RT @LauraKugel: High res images freely available and wifi throughout the museum. @britishmuseum aligns with @rijksmuseum and @metmuseum #Mu…",FALSE,0,NA,2014-10-17 15:17:39,FALSE,NA,"523130729501556736",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",16,TRUE,FALSE,NA,NA
"7","RT @britishmuseum: We've just announced that the British Museum has arrived in Minecraft! #MuseumOfTheFuture https://t.co/yjDRt5s4Ny http:/…",FALSE,0,NA,2014-10-17 15:17:36,FALSE,NA,"523130717061279745",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",137,TRUE,FALSE,NA,NA
"8","RT @somaro_s: 2 million objects digitised, another 8-10 (million!) to go #museumofthefuture",FALSE,0,NA,2014-10-17 15:17:32,FALSE,NA,"523130699382276096",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",12,TRUE,FALSE,NA,NA
"9","RT @heritageNinja: #MuseumOfTheFuture what should museums be collecting now for future generations?",FALSE,0,NA,2014-10-17 15:17:28,FALSE,NA,"523130681728458752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michtrim",20,TRUE,FALSE,NA,NA
"10","RT @ImogenHopes: #MuseumOfTheFuture Digital democratises knowledge - let's utalise that. Make museum content more sharable.",FALSE,0,NA,2014-10-17 15:17:25,FALSE,NA,"523130667090341888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",13,TRUE,FALSE,NA,NA
"11","RT @artfletch: Please please please don't buzzfeedify the British museum. #MuseumOfTheFuture",FALSE,0,NA,2014-10-17 15:17:19,FALSE,NA,"523130641958055938",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",12,TRUE,FALSE,NA,NA
"12","RT @heritageNinja: #MuseumOfTheFuture what should museums be collecting now for future generations?",FALSE,0,NA,2014-10-17 15:17:17,FALSE,NA,"523130635557556225",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",20,TRUE,FALSE,NA,NA
"13","RT @lindzeiy: Definitely! But do make content more shareable! ""@artfletch: Please please please don't buzzfeedify the British museum. #Muse…",FALSE,0,NA,2014-10-17 15:17:16,FALSE,NA,"523130630063026177",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",3,TRUE,FALSE,NA,NA
"14","RT @edtparkes: Lots of ideas being discussed at #MuseumOfTheFuture could be achieved by making more collections available as open data @bri…",FALSE,0,NA,2014-10-17 15:17:09,FALSE,NA,"523130601621454848",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",11,TRUE,FALSE,NA,NA
"15","RT @MajaMaricevic: My favourite idea so far linking objects across museums, their original locations and info (also academic research!)  #M…",FALSE,0,NA,2014-10-17 15:17:05,FALSE,NA,"523130585909583874",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","IntelligenceTV",15,TRUE,FALSE,NA,NA
"16","RT @britishmuseum: P.S. If you're at the #MuseumOfTheFuture drinks come to the winged bulls to have your say about the debate! http://t.co/…",FALSE,0,NA,2014-10-17 15:17:01,FALSE,NA,"523130569287540736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","JCCavallero",21,TRUE,FALSE,NA,NA
